Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,True,True
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,True,False
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,True,True
buddha,438460680,135090,11971,3184,247303,24901,6326808,True,True
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,True,False
懶貓 (failverde),437353350,184845,14610,2348,169973,29861,13001718,True,False
嬌兔 (zrush),436243530,137910,10628,3084,180412,49296,13297850,True,True
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,True,True
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,True,False
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,True,False
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,True,False
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,True,False
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,True,True
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,True,False
얍얍 (yapyap30),422278350,46800,36933,9306,301033,26768,9798569,True,False
Elwind,421436625,58965,18270,7165,703464,200170,14369324,True,False
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,True,False
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,True,True
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,True,False
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,True,False
Rush,412717875,86265,15405,4731,542991,120906,7575905,True,False
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,True,False
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,True,False
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,True,False
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,True,False
DatModz,409985220,228615,14288,1753,270720,36757,9812812,True,False
dafran,408885990,92565,19611,4319,599036,142689,7944645,True,False
yeTz,408478725,87990,21212,4221,849972,281059,10731565,True,False
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,True,True
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,True,False
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,True,False
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,True,True
koil,403848390,145035,13421,2791,299033,50231,7743238,True,True
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,True,False
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,True,False
殺梗 (xargon0731),401439255,155325,8406,2549,283232,16999,17013239,True,False
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,True,False
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,True,False
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,True,True
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,True,False
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,True,False
btssmash,389890800,362970,94083,1061,216558,81658,6933788,True,False
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,True,False
Payo,385755615,137400,12274,2772,175503,112595,11672019,True,False
Shotz,385739280,153105,10316,2523,159763,48388,5464553,True,True
실프_ (silphtv),385176540,197055,9401,1891,309065,87400,7215989,True,False
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,True,False
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,True,False
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,True,False
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,True,False
Emongg,379682235,155910,21922,2228,504653,156093,5794763,True,False
fl0m,379633995,188070,19318,1931,658323,183265,11489901,True,False
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,True,False
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,True,True
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,True,True
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,True,False
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,True,True
